pid,milk,fat,fat_percent,milk_wt
106,-69.93919,-11.64785,-0.02323,1
107,330.97761,19.20501,-0.00224,1
108,-29.57941,-5.80812,-0.01356,1
109,-189.93594,-7.03326,0.02128,1
110,-286.20216,-16.27831,0.00260,1
111,-111.31981,-10.29413,-0.00341,1
112,-276.12494,-24.64154,-0.04549,1
113,108.44243,5.00550,-0.00253,1
114,-370.48855,-19.55258,0.01355,1
115,-136.38609,-14.16523,-0.01589,1
116,254.10184,12.28443,-0.00587,1
117,-269.06470,-10.71074,0.02790,1
118,-197.71690,-14.63181,-0.00516,1
119,275.17287,9.12856,-0.03433,1
120,-89.39997,-5.96079,0.01036,1
121,-58.17899,-4.61636,-0.00544,1
122,-58.85723,1.05467,0.02799,1
123,24.87577,10.57745,0.04371,1
124,77.27632,8.45581,0.01703,1
125,5.18044,0.19166,0.00667,1
126,-110.46421,-3.82672,0.00498,1
127,27.51410,-5.74269,-0.02103,1
128,-201.61047,-15.79423,-0.00868,1
129,45.44865,-2.62305,-0.03385,1
130,-67.51229,-1.18824,-0.00369,1
131,177.60144,10.35635,0.00575,1
132,164.55458,0.85463,-0.04109,1
133,77.84035,0.39319,-0.00798,1
134,-42.68047,0.46801,0.01462,1
135,-257.55103,-13.29459,-0.00189,1
136,-226.99358,-2.35260,0.05184,1
137,109.89736,17.67139,0.03896,1
138,203.03287,7.79083,-0.01587,1
139,121.46612,5.56422,-0.00990,1
140,32.25001,0.21612,0.00033,1
141,-85.37183,0.14601,0.02044,1
142,178.91490,3.92714,-0.01896,1
143,476.27835,13.89097,-0.05816,1
144,191.72691,15.33679,0.01734,1
145,-79.88727,-5.07910,0.00110,1
146,11.41923,-2.23314,-0.02123,1
147,-28.03756,0.12219,0.00918,1
148,150.05278,-4.25681,-0.05207,1
149,-196.70923,-7.82900,0.00597,1
150,50.46882,1.28178,-0.00547,1
151,-155.14360,0.46150,0.03734,1
152,384.48920,12.93092,-0.02910,1
153,-238.82388,-2.92384,0.04001,1
154,19.12606,6.37732,0.02197,1
155,-286.32851,-15.89496,-0.00273,1
156,252.49958,5.76577,-0.03308,1
157,-171.41965,-3.98804,0.00642,1
158,191.92124,19.12749,0.02624,1
159,-173.94521,-18.24802,-0.03202,1
160,401.00988,13.60036,-0.04442,1
161,-70.35431,2.08158,0.02499,1
162,-369.85478,-19.99108,0.00050,1
163,-16.24227,1.12007,-0.00358,1
164,-2.24174,-3.36777,-0.02099,1
165,182.24299,12.34696,0.00099,1
166,-40.45528,-1.11941,-0.00190,1
167,130.16843,-0.17238,-0.02816,1
168,94.96880,14.63703,0.02650,1
169,371.67838,12.46180,-0.03507,1
170,183.26035,7.65515,-0.00600,1
171,-97.91682,-7.20498,-0.01543,1
172,-259.87473,-13.38436,0.00574,1
173,299.66148,6.97826,-0.04000,1
174,292.12836,6.37547,-0.03721,1
175,-20.49923,-7.26393,-0.02722,1
176,4.76369,-9.28283,-0.02987,1
177,-11.63180,-3.60171,-0.01146,1
178,371.86643,5.45535,-0.04942,1
179,-20.44638,2.85569,0.01786,1
180,81.48094,-5.68795,-0.04353,1
181,254.79041,19.83820,0.01959,1
182,-44.93958,-1.41005,0.00879,1
183,139.01091,1.39956,-0.02296,1
184,233.96580,8.77117,-0.02587,1
185,113.32108,10.68153,-0.00077,1
186,16.14349,-0.88297,-0.00798,1
187,-483.61009,-17.10646,0.02904,1
188,-266.71158,-8.69885,0.03282,1
189,-2.87689,-2.16479,-0.01670,1
190,-429.88864,-8.89347,0.05972,1
191,270.02613,11.55016,-0.01073,1
192,-340.05560,-15.81352,0.01637,1
193,-93.19765,-2.93580,0.01305,1
194,-141.74984,-3.49684,0.02030,1
195,-273.90345,-13.13569,0.01175,1
196,-371.18909,-16.01639,0.01805,1
197,-288.45090,-19.85990,-0.00928,1
198,4.28321,-2.86537,-0.01092,1
199,-385.89080,-17.70032,0.01800,1
200,148.64074,10.23206,0.00551,1
201,-138.27010,3.22654,0.04341,1
202,373.03908,24.87690,0.01440,1
203,-146.98585,-1.38983,0.03199,1
204,77.40544,4.26579,0.00130,1
205,93.85777,9.20128,0.01364,1
206,28.17928,7.46900,0.03071,1
207,-163.87223,-9.62719,0.00433,1
208,25.88505,8.35558,0.03090,1
209,-218.68768,-6.98387,0.02012,1
210,-60.37223,3.81735,0.02335,1
211,211.58104,9.79312,-0.00995,1
212,-11.06228,-6.70772,-0.01336,1
213,-163.93210,-8.06972,0.01094,1
214,-3.83818,5.94665,0.02691,1
215,-305.71046,-9.23848,0.03691,1
216,141.42508,13.28377,0.01361,1
217,-115.47693,-7.14899,0.00687,1
218,-13.79513,-1.40923,-0.00162,1
219,192.47478,7.23835,-0.01685,1
220,-201.91958,-12.72688,-0.00423,1
221,38.39388,2.74354,0.00950,1
222,-6.67397,-2.86207,-0.00777,1
223,133.86259,0.86291,-0.02015,1
224,144.30288,7.57137,-0.00720,1
225,-50.54278,-3.47244,0.00195,1
226,-121.44672,5.11039,0.03997,1
227,170.89175,9.82062,0.00893,1
228,-92.53095,-6.89799,0.00288,1
229,25.34808,-1.46575,-0.00708,1
230,-52.91742,-7.18474,-0.01708,1
231,-75.50253,-2.03286,0.01341,1
232,43.00978,9.40184,0.02329,1
233,23.37811,-8.32477,-0.02902,1
234,-48.51086,-6.72936,-0.01125,1
235,141.87845,5.63271,-0.00413,1
236,105.29073,6.47740,0.00320,1
237,-86.33217,-7.65089,0.00008,1
238,-405.68536,-18.79324,0.03146,1
239,-67.22296,-6.25176,0.00109,1
240,-197.84869,-5.09481,0.02840,1
241,-99.47005,-10.54923,-0.01339,1
242,247.08420,10.68767,-0.01602,1
243,-72.38626,-6.02786,-0.01211,1
244,-54.89547,-6.65376,-0.01776,1
245,-97.22211,-3.55784,0.00338,1
246,-282.76940,-24.32469,-0.01565,1
247,167.11313,0.12750,-0.04253,1
248,70.63937,13.65142,0.03256,1
249,229.88386,13.68188,0.01157,1
250,-328.71148,-13.28632,0.02443,1
251,226.01194,8.89091,-0.02662,1
252,-106.61686,-8.80624,-0.01692,1
253,-26.30547,-5.50637,-0.01455,1
254,-161.10351,-5.40152,0.00326,1
255,7.66569,-6.48467,-0.01457,1
256,-34.51192,-1.06870,0.00200,1
257,24.23970,3.06764,0.00245,1
258,-116.21931,-4.01752,0.01884,1
259,217.95075,12.23804,-0.00619,1
260,332.02401,10.95014,-0.03140,1
261,-238.70508,-13.32003,0.00254,1
262,-139.04739,-14.92937,-0.02719,1
263,-52.47661,4.96348,0.01103,1
264,-33.42811,-3.71260,-0.00281,1
265,-75.49407,-1.15135,0.01525,1
266,-342.97118,-15.31680,0.00725,1
267,-4.14459,-6.10997,-0.03054,1
268,132.89070,3.80482,-0.02229,1
269,43.16938,-1.75243,-0.02081,1
270,104.66287,-11.65583,-0.06855,1
271,-192.73545,-5.59710,0.01942,1
272,-33.96605,-10.58894,-0.04017,1
273,59.38015,3.49610,0.00267,1
274,18.27144,2.25465,0.00462,1
275,-363.74186,-20.16650,0.01029,1
276,-124.42741,-3.07957,0.02070,1
277,88.60885,5.25909,0.00340,1
278,-12.82689,0.19472,-0.00471,1
279,113.13207,8.21950,0.00639,1
280,-3.72161,7.63776,0.02675,1
281,-437.76056,-29.03177,-0.01948,1
282,119.40231,7.65122,-0.00913,1
283,-96.56113,-9.63287,-0.01510,1
284,186.00088,11.51251,-0.00098,1
285,34.37426,7.32359,0.01885,1
286,29.86723,8.58088,0.01772,1
287,115.70442,12.78817,0.01698,1
288,-151.23542,-8.09525,0.00218,1
289,13.31504,-2.79624,-0.02458,1
290,51.17925,9.09886,0.02895,1
291,-41.52732,-0.16577,0.00756,1
292,23.94807,2.69575,0.00527,1
293,-2.59740,2.42813,0.01244,1
294,-248.00619,-12.73820,0.01280,1
295,-113.87632,-8.86519,0.00273,1
296,-49.73303,4.07274,0.02010,1
297,99.79302,17.76019,0.03933,1
298,54.00023,0.10158,-0.00367,1
299,-189.42044,2.47272,0.04954,1
300,229.63610,17.10259,0.01692,1
301,-109.99324,-4.36618,0.01336,1
302,161.11809,6.61164,-0.00151,1
303,-16.05981,7.54603,0.03278,1
304,43.91054,4.45009,0.00903,1
305,-437.24254,-19.04979,0.02525,1
306,144.10350,6.00219,-0.00090,1
307,-7.30902,7.41328,0.02772,1
308,165.81396,6.64474,-0.00942,1
309,-87.29082,4.52869,0.03435,1
310,59.16420,2.97812,-0.00678,1
311,-308.68908,-18.38025,0.00133,1
312,47.57573,6.83995,0.02260,1
313,257.37293,16.61819,0.00154,1
314,-30.39074,-7.98732,-0.01571,1
315,152.71290,10.73000,0.01428,1
316,23.59967,5.28157,0.01520,1
317,-262.02685,-13.58729,0.01147,1
318,35.63718,12.37950,0.04272,1
319,-227.16083,-6.84785,0.02602,1
320,32.14111,4.28242,0.02139,1
321,105.90334,5.69001,-0.01096,1
322,307.70067,15.05278,-0.01117,1
323,81.29334,4.29111,-0.00685,1
324,31.27039,2.40190,0.00137,1
325,-172.32949,-10.40619,-0.00199,1
326,-259.48218,-3.86236,0.03438,1
327,-56.25427,-6.76333,-0.00674,1
328,168.55529,1.37848,-0.02924,1
329,165.82512,14.73943,0.01507,1
330,305.12429,18.48676,-0.00926,1
331,67.09842,-2.13532,-0.02815,1
332,265.38636,14.75979,-0.00521,1
333,39.09147,9.35487,0.02336,1
334,293.16158,7.85855,-0.03121,1
335,215.07114,16.80693,0.01704,1
336,35.49305,4.55155,0.01061,1
337,46.03036,2.43968,-0.00964,1
338,337.60716,18.46002,0.00212,1
339,88.22571,10.64496,0.02921,1
340,-114.22895,-1.33044,0.02179,1
341,-39.07801,3.63648,0.02617,1
342,-40.11758,-5.25722,-0.01340,1
343,73.85552,5.40874,0.00821,1
344,91.73244,1.99682,-0.02232,1
345,-63.34654,-10.84209,-0.02779,1
346,6.44739,-4.32488,-0.02670,1
347,-133.90681,-4.62180,0.01008,1
348,104.37416,-4.64294,-0.03988,1
349,-349.28543,-17.10268,-0.00020,1
350,125.39377,7.62491,0.00321,1
351,230.20546,6.39899,-0.02914,1
352,7.88785,3.33269,0.01682,1
353,114.14938,-4.89151,-0.03390,1
354,230.48093,9.34811,-0.01321,1
355,113.59352,5.15534,0.00449,1
356,-318.95951,-22.91945,-0.01189,1
357,-40.33640,2.36716,0.02488,1
358,64.06851,4.29756,0.00571,1
359,-33.70409,-6.29843,-0.02592,1
360,-300.14372,-15.43892,0.00756,1
361,38.31945,1.01591,-0.01126,1
362,-53.09760,-8.86215,-0.01850,1
363,127.12689,15.07905,0.02822,1
364,-381.79712,-26.80431,-0.00764,1
365,-250.09683,-5.01881,0.02804,1
366,-184.23072,-4.23217,0.03433,1
367,-255.49915,-12.29039,0.00439,1
368,-81.34495,-14.50641,-0.03519,1
369,-292.30313,-10.27702,0.02348,1
370,454.32449,23.74680,-0.01253,1
371,-87.97245,-5.80101,-0.00059,1
372,-176.67144,-16.83694,-0.03014,1
373,-112.69466,-2.21205,0.01421,1
374,-69.05723,2.44428,0.02992,1
375,120.84234,0.07723,-0.02646,1
376,-71.59012,-1.34544,0.00956,1
377,-251.75172,-18.03862,-0.01072,1
378,45.68912,0.78553,-0.01489,1
379,-39.93879,-2.31963,-0.00453,1
380,-33.75023,4.44702,0.02615,1
381,-220.83049,-4.09409,0.04099,1
382,32.82455,-1.93601,-0.01631,1
383,-142.11651,-9.60831,-0.00833,1
384,76.52830,-4.48610,-0.04079,1
385,4.11819,-4.98340,-0.02123,1
386,-135.54183,-6.56620,0.00651,1
387,169.87533,7.14870,0.00108,1
388,-1.72947,-2.28825,-0.01670,1
389,-112.34422,-4.60663,0.00139,1
390,-124.17912,4.86840,0.05256,1
391,50.15096,17.57886,0.05075,1
392,-3.73998,0.71605,0.00422,1
393,58.07023,3.40155,0.00600,1
394,131.45297,7.10813,0.00345,1
395,-117.94167,-10.19091,0.00135,1
396,-182.26533,-2.88406,0.03739,1
397,-135.75470,-4.60716,0.01529,1
398,-171.74694,-5.37910,0.01099,1
399,-206.91233,-14.23563,-0.00425,1
400,83.33390,7.02401,0.01190,1
401,-345.31796,-21.61126,-0.00251,1
402,-34.99606,2.84536,0.01929,1
403,-62.09365,-4.77401,0.00560,1
404,225.40270,8.97024,-0.01611,1
405,-30.65371,-3.26368,-0.00219,1
406,-261.33194,-4.48543,0.04050,1
407,-192.29398,-11.47776,0.00336,1
408,225.14894,9.60722,-0.01342,1
409,-23.39935,3.89981,0.02363,1
410,-77.09131,-6.19510,-0.01506,1
411,-257.70150,-8.05923,0.02657,1
412,-66.12077,-4.91334,-0.00750,1
413,-94.49725,-1.72687,0.02203,1
414,167.21587,15.33305,0.02226,1
415,-307.97872,-14.59995,0.01363,1
416,-202.07654,2.75434,0.05002,1
417,155.23430,1.04648,-0.02214,1
418,-133.55038,-5.45187,0.01570,1
419,90.90120,9.48316,0.01201,1
420,110.89957,10.78261,0.01397,1
421,259.28770,17.13420,0.00461,1
422,-98.99780,-8.56039,-0.00951,1
423,-253.25415,-12.72676,0.01633,1
424,-352.13406,-24.21089,-0.01209,1
425,-265.79472,-9.05221,0.02571,1
426,16.18899,7.97448,0.02202,1
427,180.07688,7.84889,-0.01205,1
428,5.80276,0.54238,0.00968,1
429,29.62627,1.78095,-0.00354,1
430,111.91183,7.63036,0.01782,1
431,-239.30976,-7.73274,0.01580,1
432,-268.86462,0.22630,0.06714,1
433,-147.85306,-6.63148,0.02242,1
434,-92.06247,-1.18487,0.01275,1
435,-3.50417,-0.08284,0.00312,1
436,138.29368,-6.11841,-0.05241,1
437,-234.80187,-12.90195,0.00998,1
438,-97.74152,-8.39311,-0.00138,1
439,-320.41205,-14.15885,0.01769,1
440,143.15262,9.26578,-0.00102,1
441,354.40232,17.74930,-0.01138,1
442,108.39648,5.60524,-0.00766,1
443,-33.00695,4.57883,0.03144,1
444,-59.25329,-5.46780,-0.00725,1
445,-85.60096,0.07373,0.03305,1
446,236.72636,17.13819,0.00879,1
447,231.43343,1.35610,-0.04129,1
448,-6.66309,-7.70556,-0.03070,1
449,164.24343,13.76862,0.02038,1
450,115.96656,9.56913,0.00043,1
451,-60.56439,-0.26375,0.01666,1
452,86.73914,-0.63430,-0.00682,1
453,-73.58710,-5.44181,-0.01087,1
454,-210.43740,-19.74849,-0.03201,1
455,-65.37418,1.85228,0.01768,1
456,-125.25780,0.75488,0.03626,1
457,2.53887,3.48241,0.00813,1
458,260.82357,11.42689,-0.01424,1
459,-286.87095,-9.00693,0.01996,1
460,-219.58183,-2.20851,0.04804,1
461,-31.98432,5.26770,0.02398,1
462,165.33649,12.93404,0.01527,1
463,199.10923,3.67354,-0.03205,1
464,-47.30996,0.49927,0.00358,1
465,175.57199,-2.37626,-0.05265,1
466,153.70256,16.31661,0.03079,1
467,-297.76632,-19.75928,-0.00633,1
468,-9.02595,-1.80716,-0.01022,1
469,74.55316,-0.09497,-0.01063,1
470,-159.11316,-14.08144,-0.01191,1
471,-4.13467,2.92402,0.01163,1
472,120.30112,2.93283,-0.01039,1
473,273.92471,10.90234,-0.01981,1
474,322.48131,18.86435,-0.00357,1
475,-22.23849,-9.57287,-0.03034,1
476,-191.60427,-8.87566,0.02122,1
477,23.62307,7.00478,0.02016,1
478,56.75127,1.97905,-0.00917,1
479,-79.76532,2.81055,0.01904,1
480,-86.58097,1.32226,0.02415,1
481,-14.12651,-12.75829,-0.03658,1
482,48.09720,-5.23958,-0.03222,1
483,283.15374,23.48640,0.01874,1
484,-182.73769,-7.79066,0.01715,1
485,-136.15601,-7.81587,0.00509,1
486,90.05761,11.06103,0.02437,1
487,-125.51084,-0.18766,0.02443,1
488,-61.41360,-6.60092,-0.01024,1
489,-190.47939,-1.32040,0.02217,1
490,150.75936,8.44722,-0.00676,1
491,350.50597,8.72607,-0.05039,1
492,107.86422,4.82510,-0.01464,1
493,356.16569,12.53846,-0.03192,1
494,42.47013,-2.90092,-0.03083,1
495,466.92495,14.55424,-0.07081,1
496,292.74628,6.06069,-0.04007,1
497,19.45827,-10.54080,-0.04449,1
498,256.73271,-2.49842,-0.06826,1
499,112.95109,-1.55843,-0.03123,1
500,137.52858,7.51154,-0.01247,1
501,-6.82810,2.35030,-0.00028,1
502,252.46470,10.45278,-0.02378,1
503,70.78742,-2.93107,-0.03043,1
504,190.71196,4.38642,-0.02755,1
505,65.35164,-2.01219,-0.02930,1
506,87.32892,-4.65326,-0.04102,1
507,-267.58611,-27.16639,-0.04590,1
508,244.38688,6.59129,-0.03457,1
509,-55.64909,-1.06607,0.01408,1
510,-11.27605,-7.37990,-0.03035,1
511,168.22539,-11.18937,-0.07493,1
512,147.45396,-2.79452,-0.03963,1
513,-154.88797,-8.05140,0.00080,1
514,278.18881,14.67950,-0.01561,1
515,-154.66645,-17.83650,-0.02727,1
516,181.75536,2.12069,-0.03232,1
517,-81.20532,-4.38320,-0.01083,1
518,587.18972,20.58087,-0.06237,1
519,234.11410,10.47926,-0.01974,1
520,357.77032,16.85722,-0.02306,1
521,-22.57182,-9.25238,-0.03087,1
522,208.46471,8.34718,-0.02510,1
523,114.22525,-4.12668,-0.03815,1
524,-91.21893,-9.05810,-0.01885,1
525,-167.45253,-14.54957,-0.03517,1
526,-17.24909,-3.80987,-0.01761,1
527,-309.61764,-18.69441,-0.00465,1
528,157.06509,-1.81432,-0.05776,1
529,152.26159,-0.96167,-0.03818,1
530,276.21305,6.88770,-0.04426,1
531,188.35371,4.01672,-0.03856,1
532,-289.39254,-15.27473,0.00307,1
533,-13.48839,-0.12150,-0.00149,1
534,341.05465,6.14594,-0.06120,1
535,98.51156,0.00111,-0.03021,1
536,227.19989,4.50580,-0.04247,1
537,165.80090,-1.38236,-0.04862,1
538,125.70338,10.52717,0.00916,1
539,203.61191,13.94207,-0.00380,1
540,41.62050,5.81367,0.00948,1
541,-145.91619,-3.91383,0.00796,1
542,-256.59790,-8.30769,0.02047,1
543,-48.98640,-1.62998,-0.00140,1
544,189.04581,9.66460,-0.00901,1
545,29.45572,5.61619,0.01987,1
546,-24.50463,-4.13967,-0.00760,1
547,-213.58055,-9.96950,-0.00528,1
548,340.23635,15.48978,-0.00984,1
549,-25.18530,-0.51051,0.00122,1
550,236.48837,26.24147,0.03530,1
551,-17.18887,-7.88784,-0.01800,1
552,38.81534,4.40887,0.01140,1
553,62.23453,-1.34091,-0.03489,1
554,-124.86675,-8.43591,-0.00278,1
555,-133.10390,-4.80314,0.00474,1
556,-253.08709,-10.61426,0.01395,1
557,-66.32938,-8.32845,-0.00533,1
558,128.34597,9.46248,0.01133,1
559,144.76411,7.77398,-0.01087,1
560,135.82053,11.50542,0.02187,1
561,-112.03599,-11.12144,-0.01057,1
562,45.34820,7.26831,0.02946,1
563,65.95667,9.35002,0.02106,1
564,50.42247,1.16874,-0.00422,1
565,6.39509,2.13880,0.00245,1
566,205.60656,12.34272,-0.00231,1
567,14.88088,-6.12770,-0.02124,1
568,108.12050,10.54736,0.01597,1
569,-61.27044,4.45786,0.02924,1
570,94.99354,-2.73288,-0.03293,1
571,-57.17487,-0.51435,0.00457,1
572,132.00857,5.47630,-0.01696,1
573,-74.47488,-2.44780,0.01277,1
574,-40.34117,4.49723,0.02179,1
575,-55.75576,0.79919,0.00224,1
576,76.12151,7.94943,0.01539,1
577,-84.53873,-9.79079,-0.01590,1
578,39.80892,0.50631,-0.00746,1
579,165.73827,7.22308,-0.00603,1
580,-140.20800,-18.87904,-0.04316,1
581,101.17639,-2.84506,-0.03629,1
582,-272.25946,-13.04397,0.01582,1
583,141.93814,2.61981,-0.02300,1
584,192.04936,12.28696,0.00454,1
585,45.11050,4.40406,0.01179,1
586,-90.27305,-2.34667,0.01029,1
587,98.74285,6.72738,0.01058,1
588,334.24584,16.31960,-0.00908,1
589,179.73850,9.83747,-0.00477,1
590,144.39903,10.36002,0.01183,1
591,-50.10972,8.12500,0.04690,1
592,78.53085,3.65280,-0.00911,1
593,266.94446,9.19851,-0.02191,1
594,-7.96496,5.18333,0.01969,1
595,63.99737,-0.24892,-0.02430,1
596,95.92784,7.55033,0.00243,1
597,160.44431,14.22320,0.02176,1
598,-172.76591,-2.01172,0.02958,1
599,-22.80933,-2.58840,-0.01692,1
600,59.96534,7.57110,0.02261,1
601,-27.50099,3.25362,0.01723,1
602,-19.74453,6.39953,0.03208,1
603,60.85314,0.35558,-0.02253,1
604,-236.21406,-11.96433,0.01771,1
605,261.21402,3.03852,-0.04557,1
606,26.99993,6.63125,0.01311,1
607,24.30430,0.51495,-0.00187,1
608,89.26662,12.78094,0.03367,1
609,148.12127,1.19062,-0.02400,1
610,-241.04431,-10.13657,0.02156,1
611,340.08018,15.23148,-0.02431,1
612,109.54664,6.77839,0.00323,1
613,79.37526,11.42632,0.02899,1
614,92.87197,-4.71872,-0.04629,1
615,-13.52371,8.06365,0.04378,1
616,-23.01617,4.89400,0.03232,1
617,-244.97345,-7.13054,0.02873,1
618,264.31977,11.63189,-0.01651,1
619,-200.49486,-9.00236,0.00804,1
620,-168.18090,-7.14353,0.00832,1
621,-227.46513,-2.87805,0.05064,1
622,-122.01072,-9.04893,-0.01227,1
623,-123.27916,0.49100,0.03301,1
624,36.86389,0.26915,-0.01018,1
625,117.36215,-0.27145,-0.02326,1
626,-347.46534,-21.59353,0.00263,1
627,-331.23744,-14.86545,0.01403,1
628,-138.68573,-5.89054,0.01869,1
629,-481.29815,-21.82258,0.02479,1
630,45.88718,7.83689,0.01265,1
631,-228.23516,-18.93256,-0.03372,1
632,189.27505,3.61810,-0.02442,1
633,63.32126,12.18575,0.03062,1
634,-209.74845,-4.59476,0.03997,1
635,89.77602,5.29387,0.00955,1
636,17.43543,-0.85696,-0.00978,1
637,-145.56182,8.50161,0.05586,1
638,-68.31792,-0.42211,0.01862,1
639,-224.48664,-6.52145,0.01792,1
640,-99.46401,-4.44671,0.00756,1
641,321.98387,5.85848,-0.04059,1
642,96.34913,-0.20500,-0.01330,1
643,328.73290,7.63271,-0.03946,1
644,112.58145,5.72465,-0.00372,1
645,-13.58294,0.48028,0.00496,1
646,133.42156,13.40687,0.02401,1
647,15.74071,0.46353,-0.01029,1
648,40.83094,-2.27901,-0.01738,1
649,-49.33279,-7.30417,-0.00104,1
650,361.91363,14.70513,-0.03367,1
651,-159.16206,-15.43216,-0.02581,1
652,-188.27909,-6.49810,0.01573,1
653,357.48138,15.29587,-0.01499,1
654,153.50168,6.72174,-0.01071,1
655,297.09238,14.59887,-0.00040,1
656,121.47772,9.98317,-0.00357,1
657,63.71566,0.87314,-0.01482,1
658,220.06548,10.42054,-0.00690,1
659,237.29216,8.62858,-0.02606,1
660,143.83240,1.08749,-0.02769,1
661,137.60905,7.00386,-0.00470,1
662,436.38871,17.83554,-0.03656,1
663,88.16297,7.12419,0.01577,1
664,179.08647,4.31377,-0.01206,1
665,91.57152,12.21219,0.02277,1
666,181.98218,14.90151,0.01313,1
667,109.59640,9.27469,0.01957,1
668,193.22543,18.73416,0.03232,1
669,58.54023,-3.13620,-0.01705,1
670,412.32356,14.23705,-0.03409,1
671,54.92235,-2.88598,-0.02525,1
672,261.53002,8.57110,-0.02004,1
673,59.59488,-0.52373,-0.01354,1
674,80.64056,11.52104,0.02631,1
675,285.76478,1.42542,-0.05839,1
676,24.08683,4.70068,0.01488,1
677,69.05209,-1.05774,-0.01741,1
678,226.42395,8.96574,-0.01585,1
679,28.12587,-4.34432,-0.00578,1
680,259.51967,7.66711,-0.02537,1
681,27.47193,4.11500,0.00666,1
682,304.74203,3.63558,-0.05553,1
683,86.29862,4.16767,-0.00398,1
684,141.18972,0.98362,-0.02745,1
685,172.56901,2.12085,-0.03485,1
686,-58.95134,-2.05142,0.00888,1
687,210.29862,9.13564,-0.01953,1
688,165.25130,10.74472,-0.00158,1
689,-166.47719,-6.59870,0.02023,1
690,237.34612,4.86051,-0.02706,1
691,147.86508,4.35681,-0.02724,1
692,-176.32143,-9.13480,0.00120,1
693,-136.43226,-3.72459,0.01929,1
694,168.35734,3.75045,-0.02291,1
695,-137.22339,-3.38280,0.01493,1
696,284.63440,10.01972,-0.03104,1
697,67.39864,7.26780,0.00335,1
698,-29.22912,-7.38222,-0.01256,1
699,161.47494,1.82125,-0.02968,1
700,-192.78512,-5.78148,0.01653,1
701,97.40507,4.97337,0.00547,1
702,125.40331,1.99123,-0.01916,1
703,-109.49382,-10.42730,-0.01912,1
704,-164.81654,-17.98533,-0.02898,1
705,44.86043,1.45802,-0.01031,1
706,-242.12688,-14.34865,-0.00715,1
707,-72.90629,7.82547,0.03442,1
708,5.26066,5.22500,0.01506,1
709,-48.36107,1.48208,0.01820,1
710,-134.33087,-6.79216,0.01455,1
711,-478.98098,-24.44887,0.01853,1
712,384.10235,20.95363,-0.00197,1
713,104.25881,3.34353,-0.01184,1
714,-96.08944,-5.43522,-0.01065,1
715,-284.34262,-5.01078,0.04477,1
716,-95.73880,-0.69104,0.02006,1
717,-396.17142,-21.94848,0.00604,1
718,-274.78318,-18.14953,-0.01531,1
719,75.95001,6.38848,0.01063,1
720,-87.62102,1.46732,0.01877,1
721,-213.98190,5.01910,0.06601,1
722,-180.62514,0.75747,0.03794,1
