snp,1,2,3,4,5
SNP99,1,,,,
SNP100,1,,,,
SNP101,1,,,,
SNP102,1,,,,
SNP103,1,,,,
SNP104,1,,,,
SNP105,1,,,,
SNP106,1,,,,
SNP107,1,,,,
SNP108,1,,,,
SNP109,1,,,,
SNP110,1,,,,
SNP111,1,,,,
SNP112,1,,,,
SNP113,1,,,,
SNP114,1,,,,
SNP115,1,,,,
SNP116,1,,,,
SNP117,1,,,,
SNP118,1,,,,
SNP119,1,,,,
SNP120,1,,,,
SNP121,1,,,,
SNP122,1,,,,
SNP123,1,,,,
SNP124,1,,,,
SNP125,1,,,,
SNP126,1,,,,
SNP127,1,,,,
SNP128,1,,,,
SNP129,1,,,,
SNP130,1,,,,
SNP131,1,,,,
SNP132,1,,,,
SNP133,1,,,,
SNP134,1,,,,
SNP135,1,,,,
SNP136,1,,,,
SNP137,1,,,,
SNP138,1,,,,
SNP139,1,,,,
SNP140,1,,,,
SNP141,1,,,,
SNP142,1,,,,
SNP143,1,,,,
SNP144,1,,,,
SNP145,1,,,,
SNP146,1,,,,
SNP147,1,,,,
SNP148,1,,,,
SNP149,1,,,,
SNP150,1,,,,
SNP151,1,,,,
SNP152,1,,,,
SNP153,1,,,,
SNP154,1,,,,
SNP155,1,,,,
SNP156,1,,,,
SNP157,1,,,,
SNP158,1,,,,
SNP159,1,,,,
SNP160,1,,,,
SNP161,1,,,,
SNP162,1,,,,
SNP163,1,,,,
SNP164,1,,,,
SNP165,1,,,,
SNP166,1,,,,
SNP167,1,,,,
SNP168,1,,,,
SNP169,1,,,,
SNP170,1,,,,
SNP171,1,,,,
SNP172,1,,,,
SNP173,1,,,,
SNP174,1,,,,
SNP175,1,,,,
SNP176,1,,,,
SNP177,1,,,,
SNP178,1,,,,
SNP179,1,,,,
SNP180,1,,,,
SNP181,1,,,,
SNP182,1,,,,
SNP183,1,,,,
SNP184,1,,,,
SNP185,1,,,,
SNP186,1,,,,
SNP187,1,,,,
SNP188,1,,,,
SNP189,1,,,,
SNP190,1,,,,
SNP191,1,,,,
SNP192,1,,,,
SNP193,1,,,,
SNP194,1,,,,
SNP195,1,,,,
SNP196,1,,,,
SNP197,1,,,,
SNP198,1,,,,
SNP199,1,,,,
SNP200,1,,,,
SNP201,1,,,,
SNP202,1,,,,
SNP203,1,,,,
SNP204,1,,,,
SNP205,1,,,,
SNP206,1,,,,
SNP207,1,,,,
SNP208,1,,,,
SNP209,1,,,,
SNP210,1,,,,
SNP211,1,,,,
SNP212,1,,,,
SNP213,1,,,,
SNP214,1,,,,
SNP215,1,,,,
SNP216,1,,,,
SNP217,1,,,,
SNP218,1,,,,
SNP219,1,,,,
SNP220,1,,,,
SNP221,1,,,,
SNP222,1,,,,
SNP223,1,,,,
SNP224,1,,,,
SNP225,1,,,,
SNP226,1,,,,
SNP227,1,,,,
SNP228,1,,,,
SNP229,1,,,,
SNP230,1,,,,
SNP231,1,,,,
SNP232,1,,,,
SNP233,1,,,,
SNP234,1,,,,
SNP235,1,,,,
SNP236,1,,,,
SNP237,1,,,,
SNP238,1,,,,
SNP239,1,,,,
SNP240,1,,,,
SNP241,1,,,,
SNP242,1,,,,
SNP243,1,,,,
SNP244,1,,,,
SNP245,1,,,,
SNP246,1,,,,
SNP247,1,,,,
SNP248,1,,,,
SNP249,1,,,,
SNP250,1,,,,
SNP251,1,,,,
SNP252,1,,,,
SNP253,1,,,,
SNP254,1,,,,
SNP255,1,,,,
SNP256,1,,,,
SNP257,1,,,,
SNP258,1,,,,
SNP259,1,,,,
SNP260,1,,,,
SNP261,1,,,,
SNP262,1,,,,
SNP263,1,,,,
SNP264,1,,,,
SNP265,1,,,,
SNP266,1,,,,
SNP267,1,,,,
SNP268,1,,,,
SNP269,1,,,,
SNP270,1,,,,
SNP271,1,,,,
SNP272,1,,,,
SNP273,1,,,,
SNP274,1,,,,
SNP275,1,,,,
SNP276,1,,,,
SNP277,1,,,,
SNP278,1,,,,
SNP279,1,,,,
SNP280,1,,,,
SNP281,1,,,,
SNP282,1,,,,
SNP283,1,,,,
SNP284,1,,,,
SNP285,1,,,,
SNP286,1,,,,
SNP287,1,,,,
SNP288,1,,,,
SNP289,1,,,,
SNP290,1,,,,
SNP291,1,,,,
SNP292,1,,,,
SNP293,1,,,,
SNP294,1,,,,
SNP295,1,,,,
SNP296,1,,,,
SNP297,1,,,,
SNP298,1,,,,
SNP299,1,,,,
SNP300,1,,,,
SNP301,1,,,,
SNP302,1,,,,
SNP303,1,,,,
SNP304,1,,,,
SNP305,1,,,,
SNP306,1,,,,
SNP307,1,,,,
SNP308,1,,,,
SNP309,1,,,,
SNP310,1,,,,
SNP311,1,,,,
SNP312,1,,,,
SNP313,1,,,,
SNP314,1,,,,
SNP315,1,,,,
SNP316,1,,,,
SNP317,1,,,,
SNP318,1,,,,
SNP319,1,,,,
SNP320,1,,,,
SNP321,1,,,,
SNP322,1,,,,
SNP323,1,,,,
SNP324,1,,,,
SNP325,1,,,,
SNP326,1,,,,
SNP327,1,,,,
SNP328,1,,,,
SNP329,1,,,,
SNP330,1,,,,
SNP331,1,,,,
SNP332,1,,,,
SNP333,1,,,,
SNP334,1,,,,
SNP335,1,,,,
SNP336,1,,,,
SNP337,1,,,,
SNP338,1,,,,
SNP339,1,,,,
SNP340,1,,,,
SNP341,1,,,,
SNP342,1,,,,
SNP343,1,,,,
SNP344,1,,,,
SNP345,1,,,,
SNP346,1,,,,
SNP347,1,,,,
SNP348,1,,,,
SNP349,1,,,,
SNP350,1,,,,
SNP351,1,,,,
SNP352,1,,,,
SNP353,1,,,,
SNP354,1,,,,
SNP355,1,,,,
SNP356,1,,,,
SNP357,1,,,,
SNP358,1,,,,
SNP359,1,,,,
SNP360,1,,,,
SNP361,1,,,,
SNP362,1,,,,
SNP363,1,,,,
SNP364,1,,,,
SNP365,1,,,,
SNP366,1,,,,
SNP367,1,,,,
SNP368,1,,,,
SNP369,1,,,,
SNP370,1,,,,
SNP371,1,,,,
SNP372,1,,,,
SNP373,1,,,,
SNP374,1,,,,
SNP375,1,,,,
SNP376,1,,,,
SNP377,1,,,,
SNP378,1,,,,
SNP379,1,,,,
SNP380,1,,,,
SNP381,1,,,,
SNP382,1,,,,
SNP383,1,,,,
SNP384,1,,,,
SNP385,1,,,,
SNP386,1,,,,
SNP387,1,,,,
SNP388,1,,,,
SNP389,1,,,,
SNP390,1,,,,
SNP391,1,,,,
SNP392,1,,,,
SNP393,1,,,,
SNP394,1,,,,
SNP395,1,,,,
SNP396,1,,,,
SNP397,1,,,,
SNP398,1,,,,
SNP399,1,,,,
SNP400,1,,,,
SNP401,1,,,,
SNP402,1,,,,
SNP403,1,,,,
SNP404,1,,,,
SNP405,1,,,,
SNP406,1,,,,
SNP407,1,,,,
SNP408,1,,,,
SNP409,1,,,,
SNP410,1,,,,
SNP411,1,,,,
SNP412,1,,,,
SNP413,1,,,,
SNP414,1,,,,
SNP415,1,,,,
SNP416,1,,,,
SNP417,1,,,,
SNP418,1,,,,
SNP419,1,,,,
SNP420,1,,,,
SNP421,1,,,,
SNP422,1,,,,
SNP423,1,,,,
SNP424,1,,,,
SNP425,1,,,,
SNP426,1,,,,
SNP427,1,,,,
SNP428,1,,,,
SNP429,1,,,,
SNP430,1,,,,
SNP431,1,,,,
SNP432,1,,,,
SNP433,1,,,,
SNP434,1,,,,
SNP435,1,,,,
SNP436,1,,,,
SNP437,1,,,,
SNP438,1,,,,
SNP439,1,,,,
SNP440,1,,,,
SNP441,1,,,,
SNP442,1,,,,
SNP443,1,,,,
SNP444,1,,,,
SNP445,1,,,,
SNP446,1,,,,
SNP447,1,,,,
SNP448,1,,,,
SNP449,1,,,,
SNP450,1,,,,
SNP451,1,,,,
SNP452,1,,,,
SNP453,1,,,,
SNP454,1,,,,
SNP455,1,,,,
SNP456,1,,,,
SNP457,1,,,,
SNP458,1,,,,
SNP459,1,,,,
SNP460,1,,,,
SNP461,1,,,,
SNP462,1,,,,
SNP463,1,,,,
SNP464,1,,,,
SNP465,1,,,,
SNP466,1,,,,
SNP467,1,,,,
SNP468,1,,,,
SNP469,1,,,,
SNP470,1,,,,
SNP471,1,,,,
SNP472,1,,,,
SNP473,1,,,,
SNP474,1,,,,
SNP475,1,,,,
SNP476,1,,,,
SNP477,1,,,,
SNP478,1,,,,
SNP479,1,,,,
SNP480,1,,,,
SNP481,1,,,,
SNP482,1,,,,
SNP483,1,,,,
SNP484,1,,,,
SNP485,1,,,,
SNP486,1,,,,
SNP487,1,,,,
SNP488,1,,,,
SNP489,1,,,,
SNP490,1,,,,
SNP491,1,,,,
SNP492,1,,,,
SNP493,1,,,,
SNP494,1,,,,
SNP495,1,,,,
SNP496,1,,,,
SNP497,1,,,,
SNP498,1,,,,
SNP499,1,,,,
SNP500,1,,,,
SNP501,1,,,,
SNP502,1,,,,
SNP503,1,,,,
SNP504,1,,,,
SNP505,1,,,,
SNP506,1,,,,
SNP507,1,,,,
SNP508,1,,,,
SNP509,1,,,,
SNP510,1,,,,
SNP511,1,,,,
SNP512,1,,,,
SNP513,1,,,,
SNP514,1,,,,
SNP515,1,,,,
SNP516,1,,,,
SNP517,1,,,,
SNP518,1,,,,
SNP519,1,,,,
SNP520,1,,,,
SNP521,1,,,,
SNP522,1,,,,
SNP523,1,,,,
SNP524,1,,,,
SNP525,1,,,,
SNP526,1,,,,
SNP527,1,,,,
SNP528,1,,,,
SNP529,1,,,,
SNP530,1,,,,
SNP531,1,,,,
SNP532,1,,,,
SNP533,1,,,,
SNP534,1,,,,
SNP535,1,,,,
SNP536,1,,,,
SNP537,1,,,,
SNP538,1,,,,
SNP539,1,,,,
SNP540,1,,,,
SNP541,1,,,,
SNP542,1,,,,
SNP543,1,,,,
SNP544,1,,,,
SNP545,1,,,,
SNP546,1,,,,
SNP547,1,,,,
SNP548,1,,,,
SNP549,1,,,,
SNP550,1,,,,
SNP551,1,,,,
SNP552,1,,,,
SNP553,1,,,,
SNP554,1,,,,
SNP555,1,,,,
SNP556,1,,,,
SNP557,1,,,,
SNP558,1,,,,
SNP559,1,,,,
SNP560,1,,,,
SNP561,1,,,,
SNP562,1,,,,
SNP563,1,,,,
SNP564,1,,,,
SNP565,1,,,,
SNP566,1,,,,
SNP567,1,,,,
SNP568,1,,,,
SNP569,1,,,,
SNP570,1,,,,
SNP571,1,,,,
SNP572,1,,,,
SNP573,1,,,,
SNP574,1,,,,
SNP575,1,,,,
SNP576,1,,,,
SNP577,1,,,,
SNP578,1,,,,
SNP579,1,,,,
SNP580,1,,,,
SNP581,1,,,,
SNP582,1,,,,
SNP583,1,,,,
SNP584,1,,,,
SNP585,1,,,,
SNP586,1,,,,
SNP587,1,,,,
SNP588,1,,,,
SNP589,1,,,,
SNP590,1,,,,
SNP591,1,,,,
SNP592,1,,,,
SNP593,1,,,,
SNP594,1,,,,
SNP595,1,,,,
SNP596,1,,,,
SNP597,1,,,,
SNP598,1,,,,
SNP599,1,,,,
SNP600,1,,,,
SNP601,1,,,,
SNP602,1,,,,
SNP603,1,,,,
SNP604,1,,,,
SNP605,1,,,,
SNP606,1,,,,
SNP607,1,,,,
SNP608,1,,,,
SNP609,1,,,,
SNP610,1,,,,
SNP611,1,,,,
SNP612,1,,,,
SNP613,1,,,,
SNP614,1,,,,
SNP615,1,,,,
SNP616,1,,,,
SNP617,1,,,,
SNP618,1,,,,
SNP619,1,,,,
SNP620,1,,,,
SNP621,1,,,,
SNP622,1,,,,
SNP623,1,,,,
SNP624,1,,,,
SNP625,1,,,,
SNP626,1,,,,
SNP627,1,,,,
SNP628,1,,,,
SNP629,1,,,,
SNP630,1,,,,
SNP631,1,,,,
SNP632,1,,,,
SNP633,1,,,,
SNP634,1,,,,
SNP635,1,,,,
SNP636,1,,,,
SNP637,1,,,,
SNP638,1,,,,
SNP639,1,,,,
SNP640,1,,,,
SNP641,1,,,,
SNP642,1,,,,
SNP643,1,,,,
SNP644,1,,,,
SNP645,1,,,,
SNP646,1,,,,
SNP647,1,,,,
SNP648,1,,,,
SNP649,1,,,,
SNP650,1,,,,
SNP651,1,,,,
SNP652,1,,,,
SNP653,1,,,,
SNP654,1,,,,
SNP655,1,,,,
SNP656,1,,,,
SNP657,1,,,,
SNP658,1,,,,
SNP659,1,,,,
SNP660,1,,,,
SNP661,1,,,,
SNP662,1,,,,
SNP663,1,,,,
SNP664,1,,,,
SNP665,1,,,,
SNP666,1,,,,
SNP667,1,,,,
SNP668,1,,,,
SNP669,1,,,,
SNP670,1,,,,
SNP671,1,,,,
SNP672,1,,,,
SNP673,1,,,,
SNP674,1,,,,
SNP675,1,,,,
SNP676,1,,,,
SNP677,1,,,,
SNP678,1,,,,
SNP679,1,,,,
SNP680,1,,,,
SNP681,1,,,,
SNP682,1,,,,
SNP683,1,,,,
SNP684,1,,,,
SNP685,1,,,,
SNP686,1,,,,
SNP687,1,,,,
SNP688,1,,,,
SNP689,1,,,,
SNP690,1,,,,
SNP691,1,,,,
SNP692,1,,,,
SNP693,1,,,,
SNP694,1,,,,
SNP695,1,,,,
SNP696,1,,,,
SNP697,1,,,,
SNP698,1,,,,
SNP699,1,,,,
SNP700,1,,,,
SNP701,1,,,,
SNP702,1,,,,
SNP703,1,,,,
SNP704,1,,,,
SNP705,1,,,,
SNP706,1,,,,
SNP707,1,,,,
SNP708,1,,,,
SNP709,1,,,,
SNP710,1,,,,
SNP711,1,,,,
SNP712,1,,,,
SNP713,1,,,,
SNP714,1,,,,
SNP715,1,,,,
SNP716,1,,,,
SNP717,1,,,,
SNP718,1,,,,
SNP719,1,,,,
SNP720,1,,,,
SNP721,1,,,,
SNP722,1,,,,
SNP723,1,,,,
SNP724,1,,,,
SNP725,1,,,,
SNP726,1,,,,
SNP727,1,,,,
SNP728,1,,,,
SNP729,1,,,,
SNP730,1,,,,
SNP731,1,,,,
SNP732,1,,,,
SNP733,1,,,,
SNP734,1,,,,
SNP735,1,,,,
SNP736,1,,,,
SNP737,1,,,,
SNP738,1,,,,
SNP739,1,,,,
SNP740,1,,,,
SNP741,1,,,,
SNP742,1,,,,
SNP743,1,,,,
SNP744,1,,,,
SNP745,1,,,,
SNP746,1,,,,
SNP747,1,,,,
SNP748,1,,,,
SNP749,1,,,,
SNP750,1,,,,
SNP751,1,,,,
SNP752,1,,,,
SNP753,1,,,,
SNP754,1,,,,
SNP755,1,,,,
SNP756,1,,,,
SNP757,1,,,,
SNP758,1,,,,
SNP759,1,,,,
SNP760,1,,,,
SNP761,1,,,,
SNP762,1,,,,
SNP763,1,,,,
SNP764,1,,,,
SNP765,1,,,,
SNP766,1,,,,
SNP767,1,,,,
SNP768,1,,,,
SNP769,1,,,,
SNP770,1,,,,
SNP771,1,,,,
SNP772,1,,,,
SNP773,1,,,,
SNP774,1,,,,
SNP775,1,,,,
SNP776,1,,,,
SNP777,1,,,,
SNP778,1,,,,
SNP779,1,,,,
SNP780,1,,,,
SNP781,1,,,,
SNP782,1,,,,
SNP783,1,,,,
SNP784,1,,,,
SNP785,1,,,,
SNP786,1,,,,
SNP787,1,,,,
SNP788,1,,,,
SNP789,1,,,,
SNP790,1,,,,
SNP791,1,,,,
SNP792,1,,,,
SNP793,1,,,,
SNP794,1,,,,
SNP795,1,,,,
SNP796,1,,,,
SNP797,1,,,,
SNP798,1,,,,
SNP799,1,,,,
SNP800,1,,,,
SNP801,1,,,,
SNP802,1,,,,
SNP803,1,,,,
SNP804,1,,,,
SNP805,1,,,,
SNP806,1,,,,
SNP807,1,,,,
SNP808,1,,,,
SNP809,1,,,,
SNP810,1,,,,
SNP811,1,,,,
SNP812,1,,,,
SNP813,1,,,,
SNP814,1,,,,
SNP815,1,,,,
SNP816,1,,,,
SNP817,1,,,,
SNP818,1,,,,
SNP819,1,,,,
SNP820,1,,,,
SNP821,1,,,,
SNP822,1,,,,
SNP823,1,,,,
SNP824,1,,,,
SNP825,1,,,,
SNP826,1,,,,
SNP827,1,,,,
SNP828,1,,,,
SNP829,1,,,,
SNP830,1,,,,
SNP831,1,,,,
SNP832,1,,,,
SNP833,1,,,,
SNP834,1,,,,
SNP835,1,,,,
SNP836,1,,,,
SNP837,1,,,,
SNP838,1,,,,
SNP839,1,,,,
SNP840,1,,,,
SNP841,1,,,,
SNP842,1,,,,
SNP843,1,,,,
SNP844,1,,,,
SNP845,1,,,,
SNP846,1,,,,
SNP847,1,,,,
SNP848,1,,,,
SNP849,1,,,,
SNP850,1,,,,
SNP851,1,,,,
SNP852,1,,,,
SNP853,1,,,,
SNP854,1,,,,
SNP855,1,,,,
SNP856,1,,,,
SNP857,1,,,,
SNP858,1,,,,
SNP859,1,,,,
SNP860,1,,,,
SNP861,1,,,,
SNP862,1,,,,
SNP863,1,,,,
SNP864,1,,,,
SNP865,1,,,,
SNP866,1,,,,
SNP867,1,,,,
SNP868,1,,,,
SNP869,1,,,,
SNP870,1,,,,
SNP871,1,,,,
SNP872,1,,,,
SNP873,1,,,,
SNP874,1,,,,
SNP875,1,,,,
SNP876,1,,,,
SNP877,1,,,,
SNP878,1,,,,
SNP879,1,,,,
SNP880,1,,,,
SNP881,1,,,,
SNP882,1,,,,
SNP883,1,,,,
SNP884,1,,,,
SNP885,1,,,,
SNP886,1,,,,
SNP887,1,,,,
SNP888,1,,,,
SNP889,1,,,,
SNP890,1,,,,
SNP891,1,,,,
SNP892,1,,,,
SNP893,1,,,,
SNP894,1,,,,
SNP895,1,,,,
SNP896,1,,,,
SNP897,1,,,,
SNP898,1,,,,
SNP899,1,,,,
SNP900,1,,,,
SNP901,1,,,,
SNP902,1,,,,
SNP903,1,,,,
SNP904,1,,,,
SNP905,1,,,,
SNP906,1,,,,
SNP907,1,,,,
SNP908,1,,,,
SNP909,1,,,,
SNP910,1,,,,
SNP911,1,,,,
SNP912,1,,,,
SNP913,1,,,,
SNP914,1,,,,
SNP915,1,,,,
SNP916,1,,,,
SNP917,1,,,,
SNP918,1,,,,
SNP919,1,,,,
SNP920,1,,,,
SNP921,1,,,,
SNP922,1,,,,
SNP923,1,,,,
SNP924,1,,,,
SNP925,1,,,,
SNP926,1,,,,
SNP927,1,,,,
SNP928,1,,,,
SNP929,1,,,,
SNP930,1,,,,
SNP931,1,,,,
SNP932,1,,,,
SNP933,1,,,,
SNP934,1,,,,
SNP935,1,,,,
SNP936,1,,,,
SNP937,1,,,,
SNP938,1,,,,
SNP939,1,,,,
SNP940,1,,,,
SNP941,1,,,,
SNP942,1,,,,
SNP943,1,,,,
SNP944,1,,,,
SNP945,1,,,,
SNP946,1,,,,
SNP947,1,,,,
SNP948,1,,,,
SNP949,1,,,,
SNP950,1,,,,
SNP951,1,,,,
SNP952,1,,,,
SNP953,1,,,,
SNP954,1,,,,
SNP955,1,,,,
SNP956,1,,,,
SNP957,1,,,,
SNP958,1,,,,
SNP959,1,,,,
SNP960,1,,,,
SNP961,1,,,,
SNP962,1,,,,
SNP963,1,,,,
SNP964,1,,,,
SNP965,1,,,,
SNP966,1,,,,
SNP967,1,,,,
SNP968,1,,,,
SNP969,1,,,,
SNP970,1,,,,
SNP971,1,,,,
SNP972,1,,,,
SNP973,1,,,,
SNP974,1,,,,
SNP975,1,,,,
SNP976,1,,,,
SNP977,1,,,,
SNP978,1,,,,
SNP979,1,,,,
SNP980,1,,,,
SNP981,1,,,,
SNP982,1,,,,
SNP983,1,,,,
SNP984,1,,,,
SNP985,1,,,,
SNP986,1,,,,
SNP987,1,,,,
SNP988,1,,,,
SNP989,1,,,,
SNP990,1,,,,
SNP991,1,,,,
SNP992,1,,,,
SNP993,1,,,,
SNP994,1,,,,
SNP995,1,,,,
SNP996,1,,,,
SNP997,1,,,,
SNP998,1,,,,
SNP999,1,,,,
SNP1000,1,,,,
SNP1001,1,,,,
SNP1002,1,,,,
SNP1003,1,,,,
SNP1004,1,,,,
SNP1005,1,,,,
SNP1006,1,,,,
SNP1007,1,,,,
SNP1008,1,,,,
SNP1009,1,,,,
SNP1010,1,,,,
SNP1011,1,,,,
SNP1012,1,,,,
SNP1013,1,,,,
SNP1014,1,,,,
SNP1015,1,,,,
SNP1016,1,,,,
SNP1017,1,,,,
SNP1018,1,,,,
SNP1019,1,,,,
SNP1020,1,,,,
SNP1021,1,,,,
SNP1022,1,,,,
SNP1023,1,,,,
SNP1024,1,,,,
SNP1025,1,,,,
SNP1026,1,,,,
SNP1027,1,,,,
SNP1028,1,,,,
SNP1029,1,,,,
SNP1030,1,,,,
SNP1031,1,,,,
SNP1032,1,,,,
SNP1033,1,,,,
SNP1034,1,,,,
SNP1035,1,,,,
SNP1036,1,,,,
SNP1037,1,,,,
SNP1038,1,,,,
SNP1039,1,,,,
SNP1040,1,,,,
SNP1041,1,,,,
SNP1042,1,,,,
SNP1043,1,,,,
SNP1044,1,,,,
SNP1045,1,,,,
SNP1046,1,,,,
SNP1047,1,,,,
SNP1048,1,,,,
SNP1049,1,,,,
SNP1050,1,,,,
SNP1051,1,,,,
SNP1052,1,,,,
SNP1053,1,,,,
SNP1054,1,,,,
SNP1055,1,,,,
SNP1056,1,,,,
SNP1057,1,,,,
SNP1058,1,,,,
SNP1059,1,,,,
SNP1060,1,,,,
SNP1061,1,,,,
SNP1062,1,,,,
SNP1063,1,,,,
SNP1064,1,,,,
SNP1065,1,,,,
SNP1066,1,,,,
SNP1067,1,,,,
SNP1068,1,,,,
SNP1069,1,,,,
SNP1070,1,,,,
SNP1071,1,,,,
SNP1072,1,,,,
SNP1073,1,,,,
SNP1074,1,,,,
SNP1075,1,,,,
SNP1076,1,,,,
SNP1077,1,,,,
SNP1078,1,,,,
SNP1079,1,,,,
SNP1080,1,,,,
SNP1081,1,,,,
SNP1082,1,,,,
SNP1083,1,,,,
SNP1084,1,,,,
SNP1085,1,,,,
SNP1086,1,,,,
SNP1087,1,,,,
SNP1088,1,,,,
SNP1089,1,,,,
SNP1090,1,,,,
SNP1091,1,,,,
SNP1092,1,,,,
SNP1093,1,,,,
SNP1094,1,,,,
SNP1095,1,,,,
SNP1096,1,,,,
SNP1097,1,,,,
SNP1098,1,,,,
SNP1099,1,,,,
SNP1100,1,,,,
SNP1101,1,,,,
SNP1102,1,,,,
SNP1103,1,,,,
SNP1104,1,,,,
SNP1105,1,,,,
SNP1106,1,,,,
SNP1107,1,,,,
SNP1108,1,,,,
SNP1109,1,,,,
SNP1110,1,,,,
SNP1111,1,,,,
SNP1112,1,,,,
SNP1113,1,,,,
SNP1114,1,,,,
SNP1115,1,,,,
SNP1116,1,,,,
SNP1117,1,,,,
SNP1118,1,,,,
SNP1119,1,,,,
SNP1120,1,,,,
SNP1121,1,,,,
SNP1122,1,,,,
SNP1123,1,,,,
SNP1124,1,,,,
SNP1125,1,,,,
SNP1126,1,,,,
SNP1127,1,,,,
SNP1128,1,,,,
SNP1129,1,,,,
SNP1130,1,,,,
SNP1131,1,,,,
SNP1132,1,,,,
SNP1133,1,,,,
SNP1134,1,,,,
SNP1135,1,,,,
SNP1136,1,,,,
SNP1137,1,,,,
SNP1138,1,,,,
SNP1139,1,,,,
SNP1140,1,,,,
SNP1141,1,,,,
SNP1142,1,,,,
SNP1143,1,,,,
SNP1144,1,,,,
SNP1145,1,,,,
SNP1146,1,,,,
SNP1147,1,,,,
SNP1148,1,,,,
SNP1149,1,,,,
SNP1150,1,,,,
SNP1151,1,,,,
SNP1152,1,,,,
SNP1153,1,,,,
SNP1154,1,,,,
SNP1155,1,,,,
SNP1156,1,,,,
SNP1157,1,,,,
SNP1158,1,,,,
SNP1159,1,,,,
SNP1160,1,,,,
SNP1161,1,,,,
SNP1162,1,,,,
SNP1163,1,,,,
SNP1164,1,,,,
SNP1165,1,,,,
SNP1166,1,,,,
SNP1167,1,,,,
SNP1168,1,,,,
SNP1169,1,,,,
SNP1170,1,,,,
SNP1171,1,,,,
SNP1172,1,,,,
SNP1173,1,,,,
SNP1174,1,,,,
SNP1175,1,,,,
SNP1176,1,,,,
SNP1177,1,,,,
SNP1178,1,,,,
SNP1179,1,,,,
SNP1180,1,,,,
SNP1181,1,,,,
SNP1182,1,,,,
SNP1183,1,,,,
SNP1184,1,,,,
SNP1185,1,,,,
SNP1186,1,,,,
SNP1187,1,,,,
SNP1188,1,,,,
SNP1189,1,,,,
SNP1190,1,,,,
SNP1191,1,,,,
SNP1192,1,,,,
SNP1193,1,,,,
SNP1194,1,,,,
SNP1195,1,,,,
SNP1196,1,,,,
SNP1197,1,,,,
SNP1198,1,,,,
SNP1199,1,,,,
SNP1200,1,,,,
SNP1201,1,,,,
SNP1202,1,,,,
SNP1203,1,,,,
SNP1204,1,,,,
SNP1205,1,,,,
SNP1206,1,,,,
SNP1207,1,,,,
SNP1208,1,,,,
SNP1209,1,,,,
SNP1210,1,,,,
SNP1211,1,,,,
SNP1212,1,,,,
SNP1213,1,,,,
SNP1214,1,,,,
SNP1215,1,,,,
SNP1216,1,,,,
SNP1217,1,,,,
SNP1218,1,,,,
SNP1219,1,,,,
SNP1220,1,,,,
SNP1221,1,,,,
SNP1222,1,,,,
SNP1223,1,,,,
SNP1224,1,,,,
SNP1225,1,,,,
SNP1226,1,,,,
SNP1227,1,,,,
SNP1228,1,,,,
SNP1229,1,,,,
SNP1230,1,,,,
SNP1231,1,,,,
SNP1232,1,,,,
SNP1233,1,,,,
SNP1234,1,,,,
SNP1235,1,,,,
SNP1236,1,,,,
SNP1237,1,,,,
SNP1238,1,,,,
SNP1239,1,,,,
SNP1240,1,,,,
SNP1241,1,,,,
SNP1242,1,,,,
SNP1243,1,,,,
SNP1244,1,,,,
SNP1245,1,,,,
SNP1246,1,,,,
SNP1247,1,,,,
